miRNA	lncRNA
hsa-miR-942-5p	RP11-550H2.2
hsa-miR-218-1-3p	LINC01043
hsa-miR-671-5p	RP5-1029F21.3
hsa-miR-650	RP11-304L19.13
hsa-miR-18a-3p	CTD-2517M22.17
hsa-miR-629-3p	AC005160.3
hsa-miR-185-5p	RP11-269G24.6
hsa-miR-924	LINC00632
hsa-miR-3663-5p	RP11-989E6.10
hsa-miR-744-5p	FLJ16779
hsa-miR-223-5p	HPVC1
hsa-let-7d-3p	AC011718.2
hsa-miR-106a-5p	LINC01106
hsa-miR-342-5p	MUC2
hsa-miR-455-3p	AC137934.1
hsa-miR-126-5p	RP11-164O23.8
hsa-miR-650	RP5-1014D13.2
hsa-miR-500a-3p	MCF2L-AS1
hsa-miR-199a-5p	ZNF833P
hsa-miR-423-5p	FLJ35934
hsa-miR-4482-5p	RP11-545P7.4
hsa-miR-544a	RP4-681L3.2
hsa-miR-671-5p	RP11-762H8.5
hsa-miR-27a-3p	RP11-449D8.5
hsa-miR-520d-5p	RP11-379F4.6
hsa-miR-297	CTA-929C8.6
hsa-miR-542-3p	LINC00917
hsa-miR-5090	RP11-432I5.8
hsa-miR-1229-3p	LL22NC03-27C5.1
hsa-miR-1231	RP11-1260E13.4
hsa-miR-1184	RP11-1260E13.4
hsa-miR-2909	RP11-333E1.2
hsa-miR-1200	CTD-2008P7.3
hsa-miR-338-3p	MCF2L-AS1
hsa-miR-766-3p	RP11-85G18.6
hsa-miR-744-5p	RP11-923I11.5
hsa-miR-1972	CH507-216K13.2
hsa-miR-106a-5p	RP11-369C8.1
hsa-miR-539-5p	AC018816.3
hsa-miR-382-5p	MUC19
hsa-miR-194-3p	MUC19
hsa-miR-6090	VPS9D1-AS1
hsa-miR-342-5p	RP11-394A14.2
hsa-miR-593-3p	AC005330.2
hsa-miR-1184	AC092535.3
hsa-miR-1207-5p	RP11-680F20.6
hsa-miR-30b-3p	LINCMD1
hsa-miR-186-5p	DYX1C1-CCPG1
hsa-miR-640	MUC19
hsa-miR-363-5p	RP11-7M8.2
hsa-miR-521	RP11-10J21.4
hsa-miR-181a-2-3p	RP11-368I7.4
hsa-miR-629-3p	RP5-1029F21.2
hsa-miR-30b-3p	RP11-153F5.7
hsa-miR-339-3p	RP3-388N13.3
hsa-miR-489-3p	TTTY4C
hsa-miR-625-5p	AC006019.3
hsa-let-7d-3p	RP3-323A16.1
hsa-miR-612	AC004156.3
hsa-miR-140-3p	LA16c-306A4.2
hsa-miR-338-3p	LINC01423
hsa-miR-766-3p	LINC01022
hsa-miR-1200	RP11-22M7.2
hsa-miR-767-3p	TMEM191C
hsa-miR-515-5p	FAM74A1
hsa-miR-1976	TMEM191C
hsa-miR-1237-3p	AC091153.4
hsa-miR-505-5p	AC016682.1
hsa-miR-214-3p	TTLL10-AS1
hsa-miR-452-3p	LINC01128
hsa-miR-5094	LINC01128
hsa-miR-23a-5p	LINC01128
hsa-miR-140-3p	LINC01128
hsa-miR-3200-5p	PCBP3-OT1
hsa-miR-345-5p	RP11-423H2.5
hsa-miR-1225-3p	RP11-758P17.3
hsa-miR-224-5p	RP11-91H12.3
hsa-miR-1972	CTD-2330K9.2
hsa-miR-1972	LINC00905
hsa-miR-326	RP11-413M3.4
hsa-miR-873-5p	RP11-333E1.2
hsa-miR-1184	TMEM191A
hsa-miR-520a-5p	RP11-867G23.10
hsa-miR-181a-2-3p	RP11-830F9.5
hsa-miR-145-3p	AC011284.3
hsa-let-7a-2-3p	AC011718.2
hsa-miR-875-3p	RP11-64K12.8
hsa-miR-1207-3p	CTD-2006K23.1
hsa-miR-544a	AC008154.4
hsa-miR-1238-3p	RP11-774O3.3
hsa-miR-214-3p	AC015849.16
hsa-miR-520g-3p	CTD-2008P7.1
hsa-miR-223-5p	RP11-243A14.1
hsa-miR-132-5p	MUC2
hsa-miR-1976	LINC00174
